experiment_id,date,recording_start_est,recording_end_est,duration_seconds,ce_variant,campaign_year,logical_stages,key_bindings,experiment_block,scenario_id,source_event_name,attempt_type,team_focus,route_id,vehicle_ids,vehicle_count,vehicle_descriptions,gps_ids,relevant_nodes,delay_in_start,ce_log_table,quality_status,recommended_for_use,selection_basis,notes,source_file,source_row,raw_start,raw_end,timezone_basis
20241008-route-convoy-6-wrong-r017,2024-10-08,2024-10-08 11:33:46,2024-10-08 11:35:40,114,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,6-WRONG,Route convoy scenario 6-WRONG,invalid_attempt,,CyanR,w1; w3; (w2 yellow),3,,,,0 seconds,,failed,False,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, Changed smartphone positions. Vehicle did not veer off, change to CyanR; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,17,11:33:46,11:35:40,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-6-r018,2024-10-08,2024-10-08 11:37:10,2024-10-08 11:38:43,93,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,6,Route convoy scenario 6,standard,,"CyanR, Yellow",w1; w3; (w2 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan,; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,18,11:37:10,11:38:43,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-7-r019,2024-10-08,2024-10-08 11:39:53,2024-10-08 11:41:29,96,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,7,Route convoy scenario 7,standard,,"Cyan, Yellow",w2; w3; (w1 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,19,11:39:53,11:41:29,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-8-r020,2024-10-08,2024-10-08 11:42:54,2024-10-08 11:44:29,95,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,8,Route convoy scenario 8,standard,,"CyanR, Yellow",w2; w3; (w1 yellow),3,,,,0 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, smartphone all failure; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,20,11:42:54,10/8/2024 11:44:29,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-9-r021,2024-10-08,2024-10-08 11:47:07,2024-10-08 11:48:40,93,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,9,Route convoy scenario 9,standard,,Cyan,w1; w2; w3,3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, Brian logging no separate sessions, n3 only working; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,21,11:47:07,11:48:40,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-10-r022,2024-10-08,2024-10-08 11:50:00,2024-10-08 11:51:49,109,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,10,Route convoy scenario 10,standard,,CyanR,w1; w2; w3,3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, possibly incorrect start time, n3 only working; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,22,11:50:00,11:51:49,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-11-r023,2024-10-08,2024-10-08 11:53:14,2024-10-08 11:54:46,92,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,11,Route convoy scenario 11,standard,,"Cyan, Yellow",w1; w2; (w3 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, n3 only working; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1). Source sheet warns no reliable GPS until source row 24.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,23,10/8/2024 11:53:14,10/8/2024 11:54:46,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-12-r024,2024-10-08,2024-10-08 11:58:59,2024-10-08 12:00:26,87,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,12,Route convoy scenario 12,standard,,"CyanR, Yellow",w1; w2; (w3 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, High Precision GPS Online, n3 only working; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,24,10/8/2024 11:58:59,10/8/2024 12:00:26,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-13-r025,2024-10-08,2024-10-08 13:32:00,2024-10-08 13:34:26,146,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,13,Route convoy scenario 13,standard,,"Cyan, Yellow",w1; w3; (w2 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, All smartphones are activated; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,25,13:32,10/8/2024 13:34:26,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-14-r026,2024-10-08,2024-10-08 13:37:18,2024-10-08 13:38:53,95,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,14,Route convoy scenario 14,standard,,"CyanR, Yellow",w1; w3; (w2 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,26,10/8/2024 13:37:18,10/8/2024 13:38:53,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-15-r027,2024-10-08,2024-10-08 13:40:15,2024-10-08 13:41:42,87,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,15,Route convoy scenario 15,standard,,"Cyan, Yellow",w2; w3; (w1 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,27,10/8/2024 13:40:15,10/8/2024 13:41:42,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-16-r028,2024-10-08,2024-10-08 13:43:10,2024-10-08 13:44:38,88,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,16,Route convoy scenario 16,standard,,"CyanR, Yellow",w2; w3; (w1 yellow),3,,,,5 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,28,10/8/2024 13:43:10,10/8/2024 13:44:38,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-17-r029,2024-10-08,2024-10-08 13:46:21,2024-10-08 13:48:02,101,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,17,Route convoy scenario 17,standard,,Cyan,w1; w2; w3,3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,29,10/8/2024 13:46:21,10/8/2024 13:48:02,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-18-r030,2024-10-08,2024-10-08 13:49:52,2024-10-08 13:51:26,94,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,18,Route convoy scenario 18,standard,,CyanR,w1; w2; w3,3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,30,10/8/2024 13:49:52,10/8/2024 13:51:26,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-19-r031,2024-10-08,2024-10-08 13:52:57,2024-10-08 13:54:33,96,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,19,Route convoy scenario 19,standard,,"Cyan, Yellow",w1; w2; (w3 yellow),3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,31,10/8/2024 13:52:57,10/8/2024 13:54:33,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-20-r032,2024-10-08,2024-10-08 13:56:04,2024-10-08 13:57:36,92,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,20,Route convoy scenario 20,standard,,"CyanR, Yellow",w1; w2; (w3 yellow),3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,32,10/8/2024 13:56:04,10/8/2024 13:57:36,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-21-r033,2024-10-08,2024-10-08 13:58:57,2024-10-08 14:00:37,100,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,21,Route convoy scenario 21,standard,,"Cyan, Yellow",w1; w3; (w2 yellow),3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,33,10/8/2024 13:58:57,10/8/2024 14:00:37,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-22-r034,2024-10-08,2024-10-08 14:03:27,2024-10-08 14:05:14,107,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,22,Route convoy scenario 22,standard,,"CyanR, Yellow",w1; w3; (w2 yellow),3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, Operator 2 started at 30 seconds, WartHog GPS didn't stop until just before next run; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,34,10/8/2024 14:03:27,10/8/2024 14:05:14,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-23-r035,2024-10-08,2024-10-08 14:06:39,2024-10-08 14:08:23,104,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,23,Route convoy scenario 23,standard,,"Cyan, Yellow",w2; w3; (w1 yellow),3,,,,10 seconds,,usable_with_caveats,True,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,35,10/8/2024 14:06:39,10/8/2024 14:08:23,EST (as specified by user; no UTC conversion applied)
20241008-route-convoy-24-r036,2024-10-08,2024-10-08 14:10:07,2024-10-08 14:10:07,0,Route convoy,2024,ON_ROUTE + chained sustained FOLLOWS,ordered vehicle roles,temporal_ce1,24,Route convoy scenario 24,standard,,"CyanR, Yellow",w2; w3; (w1 yellow),3,,,,10 seconds,,needs_time_review,False,"User-specified October 8 temporal_ce1 block, scenarios 1-24; invalid logged attempts retained and flagged","For Geosensors, we are going close to 1, 2, 3 in a sedan, ATV2 lost high precision fix; Temporal CE1 block. Header notes ATV uses WartHog 3 GPS (Operator 1).; Recorded start and end times are identical; duration needs review.",IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-8Oct24.csv,36,10/8/2024 14:10:07,14:10:07,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-complex-ev-1-r003,2024-10-09,2024-10-09 08:41:38,2024-10-09 08:42:28,50,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,complex ev 1,Two-vehicle chase scenario complex ev 1,standard,,Cyan,s1; a2,2,,ATV1; CAR1,,0 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 1: extra movement of vehicles between scenarios,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,3,8:41:38,8:42:28,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-2-r004,2024-10-09,2024-10-09 08:44:47,2024-10-09 08:45:36,49,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,2,Two-vehicle chase scenario 2,standard,,CyanR,s1; a2,2,,ATV1; CAR1,,0 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 1,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,4,8:44:47,8:45:36,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-3-r005,2024-10-09,2024-10-09 08:53:09,2024-10-09 08:53:59,50,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,3,Two-vehicle chase scenario 3,standard,,"Cyan, Yellow","s1, (a2 yellow)",2,,ATV1; CAR1,,0 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,5,8:53:09,8:53:59,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-4-r006,2024-10-09,2024-10-09 08:54:58,2024-10-09 08:55:58,60,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,4,Two-vehicle chase scenario 4,standard,,"CyanR, Yellow","s1, (a2 yellow)",2,,ATV1; CAR1,,0 seconds,,usable_with_caveats,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2; CAR1 GPS has no fix,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,6,8:54:58,8:55:58,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-4-redo-r007,2024-10-09,2024-10-09 08:58:42,2024-10-09 08:59:26,44,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,4 (redo),Two-vehicle chase scenario 4 (redo),redo,,"CyanR, Yellow","s1, (a2 yellow)",2,,ATV1; CAR1,,0 seconds,,usable_with_caveats,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2; CAR1 GPS fix is back again,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,7,8:58:42,8:59:26,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-5-r008,2024-10-09,2024-10-09 09:00:40,2024-10-09 09:01:21,41,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,5,Two-vehicle chase scenario 5,standard,,"Cyan, Yellow","a2, (s1 yellow)",2,,ATV1; CAR1,,0 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,8,9:00:40,9:01:21,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-6-r009,2024-10-09,2024-10-09 09:02:29,2024-10-09 09:03:15,46,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,6,Two-vehicle chase scenario 6,standard,,"CyanR, Yellow","a2, (s1 yellow)",2,,ATV1; CAR1,,0 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,9,9:02:29,9:03:15,EST (as specified by user; no UTC conversion applied)
20241009-two-vehicle-chase-7-r010,2024-10-09,2024-10-09 09:04:38,2024-10-09 09:05:21,43,Two-vehicle chase,2024,same route + sustained FOLLOWS,"leader, follower",complex ev 1,7,Two-vehicle chase scenario 7,standard,,Cyan,s1; a2,2,,ATV1; CAR1,,5 seconds,,usable,True,"User-specified October 9 chase block, scenarios 1-18; redo retained",recording 2,IoBT_Experiment_Proposed_Trials_7Out24.xlsx - DataLog-9Oct24.csv,10,9:04:38,9:05:21,EST (as specified by user; no UTC conversion applied)
